Banco,Sector,Sector normalizado,"Alcance (subsector o actividades, y alcance de emisiones, 1,2,3)","Sector Boundaries (parte de la cadena de valor, por ejemplo upstream, manufactures...)","Activities scope (Ammount drawn, undrawn, Debt financing,  Equity financing,  Capital markets...)",Cobertura Geográfica,"Cobertura de la entidad (CIB, Retail, etc)",Metodología de referencia,Escenario de referencia (Contempla un rango),Métrica del objetivo,Data source,Año base,Último año reportado,Año Objetivo,Emisiones o Intensidad año base,Emisiones o Intensidad año 2023,Emisiones o Intensidad año 2024,Emisiones o Intensidad año 2025,Emisiones o Intensidad año 2026,Emisiones o Intensidad año objetivo,Porcentaje de reducción (año base vs año objetivo),Porcentaje de reducción (YTD),CAGR Anual Objetivo,Cumplimiento/alineamiento,Validación por un tercero,Moneda,Portfolio Amount sujeta al objetivo ($bn),Peso dentro del Portfolio (incluye portfolio total),Media del mercado para el año actual,Emisiones absolutas,Emisiones Facilitadas,Volumen de financiacion/movilización sostenible,ESBR o ESR,Porcentaje de CAPEX Verde de las Contrapartes,Implied Temperature Rise (ITR),Climate - Related Value at Risk (CVaR),Plan de transición definido,Última actualización,Fuente de información,Página (Link),Comentarios
Banco Santander S.A.,Inmuebles comerciales,Commercial Real Estate,Scope 1+2,Downstream - Owners,,España; Reino Unido; Portugal,Retail & Commercial Banking,PCAF,No declarado,kgCO2e/m²,,,2024,Seguimiento,,"22,89","26,14",,,,,,,,,EUR,"18,82 (2024)",,,"0,31 MtCO2e (2024)",,,,,,,Sí,1/02/2026 0:00:00,Santander Informe anual 2025,"p. 61, 70, 137",
Banco Santander S.A.,Hipotecas,Residential Real Estate,Scope 1+2,Downstream - Homeowners,,España; Reino Unido; Portugal,Retail & Commercial Banking,PCAF,No declarado,kgCO2e/m²,,,2024,Seguimiento,,"21,06",19,,,,,,,,,EUR,"284,13 (2024)",,,"2,19 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 70, 137",
Banco Santander S.A.,Agricultura,Agriculture,Scope 1+2,"Midstream - On Farm (Soja, maíz, ganado vacuno)",,Brasil,Retail & Commercial Banking,PCAF,No declarado,MtCO2e,,,2024,Seguimiento,,"8,41","7,12",,,,,,,,,EUR,"2,46 (2024)",,,"7,12 MtCO2e (2024)",,,,,,,Sí,46054,Santander Informe anual 2025,"p. 61, 69, 137",
"CaixaBank, S.A.",Eléctrico,Power,Scope 1,Generación,Debt financing; Equity financing,Global,Whole bank,PCAF,IEA Net Zero 2050,kgCO2e/MWh,,2020,2025,2030,136,105,"93,4","78,5",,95,"0,30","-0,31","4,35",ahead of target,,EUR,,,,"1,262 MtCO2e (2025)",,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 286, 309",CAGR calculado sobre base 136 y objetivo 95 a 10 años. Alineamiento indicado como superior al objetivo de 2030.
"CaixaBank, S.A.",Petróleo y gas,Oil & Gas,Scope 1+2+3,Exploración y producción; distribución y refino empresas integradas,Amount drawn,Global,Whole bank,PCAF,IEA Net Zero 2050,MtCO2e,,2020,2025,2030,"9,1","5,6","5,9","4,9",,7,"0,23","-0,35","2,59",ahead of target,,EUR,,,,"1,346 MtCO2e (2025)",,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 287, 309",CAGR calculado para reducción del 23% en 10 años. Reducción acumulada del 46% supera objetivo 2030.
"CaixaBank, S.A.",Automoción,Automotive,Scope 3,Producción de vehículos,Debt financing; Equity financing,Global,Whole bank,PCAF,IEA Net Zero 2050,gCO2e/vkm,,2022,2025,2030,"154,1",146,146,"163,9",,"103,1","0,33","-0,05",,no alineado,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 288, 309",Métrica 2025 no disponible (última 2023). El valor aumentó respecto al año base (reducción negativa).
"CaixaBank, S.A.",Hierro y acero,Steel,Scope 1+2,Fabricación,Debt financing; Equity financing,Global,Whole bank,PCAF,IEA NZE 2050,kgCO2e/t acero,,2022,2025,2030,1230,1141,1073,991,,1.107,"0,10","-0,19","-1,31%",on track,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 289, 309",Objetivo expresado como rango. Reducción YTD calculada sobre dato 2023.
"CaixaBank, S.A.",Hierro y acero,Steel,Scope 1+2,Fabricación,Debt financing; Equity financing,Global,Whole bank,PCAF,IEA NZE 2050,kgCO2e/t acero,,2022,2025,2030,1230,1141,1073,991,,984,"0,20","-0,19","-2,75%",on track,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 289, 309",Objetivo expresado como rango. Reducción YTD calculada sobre dato 2023.
"CaixaBank, S.A.",Carbón térmico,Thermal Coal Mining,,Phase-out,Debt financing; Equity financing,Global,Whole bank,,,MM€,,2022,2025,2030,213,3154,2731,2358,,0,"100,00","11,82",,on track,,EUR,2358 €bn (2023),,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 290, 309",Métrica financiera (exposición). El objetivo es reducción a cero (100% de reducción).
"CaixaBank, S.A.",Inmobiliario comercial,Commercial Real Estate,Scope 1+2,Propietario no residencial,Debt financing; Equity financing,Península Ibérica,Whole bank,PCAF,CRREM 1.5ºC,kgCO2e/m2,,2022,2025,2030,"20,5","20,1","19,9",21,,"12,1","41,00","-0,03",,no alineado,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 291, 309",Aumento de intensidad en 2023 debido a actualización de proxies.
"CaixaBank, S.A.",Inmobiliario residencial,Residential Real Estate,Scope 1+2,Propietario residencial,Debt financing; Equity financing,España; Portugal,Whole bank,PCAF,CRREM 1.5ºC,kgCO2e/m2,,2022,2025,2030,"23,57","23,7","19,8","19,5",,"19,03","19,00","-0,16",,on track,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 292, 309",
"CaixaBank, S.A.",Aviación,Aviation,Scope 1,Propietario (Aerolíneas),Debt financing; Equity financing,Global,Whole bank,PCAF; Pegasus,MPPU 1.5º,gCO2e/RPK,,2022,2025,2030,"101,8",115,"98,9","95,3",,71,"30,00","-0,03",,on track,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 293","Emisiones absolutas en transporte 4,589 MtCO2e (2025) agregado."
"CaixaBank, S.A.",Naval,Shipping,Scope 1,Propietario,Debt financing; Equity financing,Global,Whole bank,Principios de Poseidón,IMO 2018,%AD,,2022,2025,2030,"11,9","2,4","-4,3",,,0,"100,00","-1,36",,ahead of target,,EUR,,,,,,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 294",Métrica Alignment Delta (AD%). El objetivo es 0% (alineamiento con senda IMO).
"CaixaBank, S.A.",Agropecuario,Agriculture,,Producción (Ganadería),Debt financing; Equity financing,España; Portugal,Whole bank,,SBTi FLAG 1.5ºC,kgCO2e/kg carne,,2022,,Seguimiento,,,,,,,,,,Seguimiento,,EUR,,,,"1,927 MtCO2e (2025)",,,,,,,Sí,45992,2025 Informe de Gestión Consolidado,"pp. 283, 295, 309",Objetivo cualitativo de conocimiento y perfilado de clientes.
Grupo Banco Sabadell,Electricidad,Power,Scope 1+2,Generación de electricidad,Debt financing,Global,Grandes empresas,SBTi,IEA Net Zero 2050,kg CO2e / MWh,,2020,2024,2030,61,63,40,,,45,,"-0,34",,"131,25%",,EUR,,,,40 kg CO2e / MWh (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 205, 279, 280, 338",Intensidad 2024 (40) por debajo de rango objetivo 2030 (45-85). Distancia NZE2050 reportada como 0%.
Grupo Banco Sabadell,Electricidad,Power,Scope 1+2,Generación de electricidad,Debt financing,Global,Grandes empresas,SBTi,IEA Net Zero 2050,kg CO2e / MWh,,2020,2024,2030,61,63,40,,,85,,"-0,34",,"-87,50%",,EUR,,,,40 kg CO2e / MWh (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 205, 279, 280, 338",Intensidad 2024 (40) por debajo de rango objetivo 2030 (45-85). Distancia NZE2050 reportada como 0%.
Grupo Banco Sabadell,Petróleo y Gas,Oil & Gas,Scope 1+2+3,Upstream & Downstream; Refino,Debt financing,Global,Grandes empresas,SBTi,IEA Net Zero 2050,Mt CO2e,,2020,2024,2030,"6,3","4,82","5,277",,,"4,851","0,23","-16,24%","-0,03","70,60%",,EUR,,,,5.277 ktCO2e (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 338",Emisiones absolutas. Reducción YTD calculada: (6300-5277)/6300 = 16%.
Grupo Banco Sabadell,Cement,Cement,Scope 1+2,Fabricación,Debt financing,Global,Grandes empresas,SBTi,IEA NZE 2050,t CO2 / t cement,,2020,2024,2030,"0,66",609,"0,574",,,"0,51","0,23","-13,03%","-0,03","57,33%",,EUR,,,,574 kg CO2e / tn. cemento (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 339",Reducción YTD calculada: (660-574)/660 = 13%.
Grupo Banco Sabadell,Carbón,Thermal Coal Mining,,Actividad de minería,Debt financing,Global,Whole bank,SBTi,IEA Net Zero 2050,Mn. euros,,2020,2024,2030,"2,9","0,1","1,7",,,0,"1,00","-41,38%","-1,00","41,38%",,EUR,,,,"1,7 Mn. euros (2024)",,>76.000 M€ acumulado 2021-2025,,,,Sí,,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 339",Objetivo de descarbonización por exposición (Phase-out).
Grupo Banco Sabadell,Hierro y acero,Steel,Scope 1+2,Fabricación,Debt financing,Global,Grandes empresas,SBTi,IEA NZE 2050,kgCO2e/t steel,,2022,2024,2030,1593,1497,1403,,,1172,"0,26","-0,12","-3,76%","45,13%",,EUR,,,,1403 kgCO2e / tn acero (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 341",Reducción YTD calculada: (1593-1403)/1593 = 12%.
Grupo Banco Sabadell,Automoción,Automotive,Scope 3,Fabricación / OEMs,Debt financing,Global,Grandes empresas,SBTi,IEA Net Zero 2050,gCO2e/vkm,,2022,2024,2030,211,220,183,,,124,"0,41","-13,27%","-0,06","32,18%",,EUR,,,,183 gCO2e / vkm (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 341",Scope 3 asociado al uso de vehículos vendidos. Reducción YTD calculada: (211-183)/211 = 13%.
Grupo Banco Sabadell,Aviación,Aviation,Scope 1+2,Aerolíneas,Debt financing,Global,Grandes empresas,SBTi,IEA Net Zero 2050,gCO2e / rpk,,2022,2024,2030,94,90,91,,,65,"0,31","-3,19%","-0,05","10,34%",,EUR,,,,91 gCO2e / rpk (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 342",Reducción YTD calculada: (94-91)/94 = 3%.
Grupo Banco Sabadell,Hipotecas residenciales,Residential Real Estate,Scope 1+2,Propietario; Downstream - Residential mortgages,Debt financing,España,Retail,SBTi,CRREM 1.5ºC,kg CO2e / m2,,2023,2024,2030,"20,9","20,9","20,7",,,"16,8","0,20","-0,96%","-0,03","4,88%",,EUR,,,,"20,7 kg CO2e / m2 (2024)",,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 337","Reducción YTD calculada: (20,9-20,7)/20,9 = 1%."
Grupo Banco Sabadell,Inmobiliario comercial,Commercial Real Estate,Scope 1+2,Propietario,Debt financing,España,Whole bank,SBTi,CRREM 1.5ºC,kg CO2e / m2,,2023,2024,2030,"25,7","25,7","22,4",,,"12,6","0,51","-12,84%","-0,10","25,19%",,EUR,,,,"22,4 kg CO2e / m2 (2024)",,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280","Reducción YTD calculada: (25,7-22,4)/25,7 = 13%."
Grupo Banco Sabadell,Aluminio,Aluminum,Scope 1+2,Producción,Debt financing,Global,Grandes empresas,SBTi,IAI 1.5º,kg CO2e / tn. Aluminio,,2023,2024,2030,645,645,708,,,549,"0,15","9,77%","-0,02","-65,63%",,EUR,,,,708 kg CO2e / tn. Aluminio (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280, 342",Intensidad empeoró un 10% YTD.
Grupo Banco Sabadell,Transporte Marítimo,Shipping,Scope 1+3,Operador; Armadores,Debt financing,Global,Whole bank,SBTi,IMO,Delta gCO2e / tnm,,2023,2024,2030,25,25,28,,,0,"10,71","12,00%","-1,00","-12,00%",,EUR,,,,28 Delta gCO2e / tnm (2024),,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,"pp. 279, 280",Métrica Alignment Delta (AD%).
Grupo Banco Sabadell,Hipotecas residenciales (TSB),Residential Real Estate,Scope 1+2,Propietarios,Debt financing,Reino Unido,Retail,SBTi,IEA ETP B2DS,kgCO2e / m2,,2022,2022,2030,"20,14",,,,,"11,75","0,42","-0,03","-0,07","240,05%",,EUR,,,,,,>76.000 M€ acumulado 2021-2025,,,,,Sí,46082,Informe con Relevancia Prudencial 2025,p. 279,Objetivo específico para la filial TSB.
Societe Generale S.A.,Oil and Gas,Oil & Gas,"Scopes 1 and 2 +
Scope 3.11","Upstream, midstream and downstream",Absolute emissions,Global,CIB,PACTA,IEA NZE 2050,MtCO2 eq,,2019,2025,2030,"24,8",,,"7,9",,"7,5","0,70","76,00","17,46",Ahead of target,,EUR,,,,"7,9 MtCO2eq (2025)",,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,El valor 2025 es del Q3. Reducción exposición 76% YTD. Reducción absoluta emisiones meta 70%.
Societe Generale S.A.,Power,Power,Scope 1+2,Power generation,,Global,CIB,PACTA,IEA NZE 2050,gCO2eq/kWh,,2019,2025,2030,219,,,85,,125,"0,43","61,00","10,56",Ahead of target,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Valor 2025 es del Q3. Objetivo intensidad 125 para 2030.
Societe Generale S.A.,Thermal Coal,Thermal Coal Mining,,Power generation and thermal coal mining,Gross commitments,Global,Whole bank,,IEA NZE 2050,"EURm, Index 100",,2019,2025,2030,100,,,30,,0,"100,00",,,On track,,EUR,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Compromiso de salida total (phase out) para 2030 (UE/OCDE) y 2040 (resto).
Societe Generale S.A.,Shipping,Shipping,Scope 1 + 3.3,Ships from shipowners and operators,,Global,CIB,Poseidon Principles,IMO Striving for,Alignment score,,2022,2024,2030,"24,2",,"7,9",,,15,"38,00","14,00",,,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Puntuación +7.9% en 2024. Meta es alineamiento 0 (o score negativo).
Societe Generale S.A.,Aviation,Aviation,Scope 1 + 3.3,Airlines and Lessors,,Global,CIB,Pegasus Guidelines,MPP PRU,gCO2eq/RTK,,2019,2025,2030,950,,,821,,775,"18,00","14,00","3,27",On track,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Valor 2025 es del Q3.
Societe Generale S.A.,Cement,Cement,Scope 1+2,Cement producers,,Global,CIB,PACTA,IEA NZE 2050,t CO2 / t cement,,2022,2025,2030,"0,671",,,"0,639",,"0,54","0,20",,"-0,03","493,38%",,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Reducción intensidad del 5% al Q3 2025.
Societe Generale S.A.,Steel,Steel,Scope 1+2,Crude Steel producers,,Global,CIB,Sustainable Steel Principles,IEA NZE 2050,SSP-defined alignment score,,2022,2025,2030,0,,,"0,16",,0,,,,On track,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Score 0.16 al Q3 2025. Meta alineamiento total (0) en 2030.
Societe Generale S.A.,Automotive,Automotive,Scope 3,Car manufacturers,,Global,Whole bank,PACTA,IEA NZE 2050,gCO2e/vkm,,2021,2025,2030,184,,,154,,90,"0,51","16,00",,On track,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Basado en intensidad de carbono de nuevos vehículos vendidos.
Societe Generale S.A.,Commercial Real Estate,Commercial Real Estate,Scope 1+2,Real estate professional investors and assets,,Global,Whole bank,CRREM,CRREM v2.02,kgCO2eq/m2/y,,2022,2025,2030,49,,,47,,18,"63,00",,,On track,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Meta de 18 kgCO2eq/m2 para 2030.
Societe Generale S.A.,Aluminium,Aluminum,Scope 1+2+3,Aluminium producers,,Global,CIB,PACTA,IAI/MPP STS,tCO2eq/t aluminium,,2022,2025,2030,8,,,"7,6",,6,"25,00","5,00","4,71",On track,,,,,,,,,,,,,Sí,2026,Universal Registration Document 2026,pp. 307-311,Valor 2025 es del Q3. Reducción intensidad del 25% YTD.
ING Groep N.V.,Energy: Power generation,Power,Scope 1,Energy: Power Generation,Amount drawn; Undrawn commitments,Global,Wholesale Banking,PACTA,"IEA NZE (WEO, 2023)",kg CO2e / MWh,,2018,2025,2030,297,,63,"43,6",,66,"0,78","85,00",,85% de avance respecto al objetivo de 2030,SBTi validado,EUR,"13,3 €bn (2025)","44 (portfolio total: 26,5 €bn)",,"6,765 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 114, 116, 126",Porcentaje de cumplimiento (85%) extraído de p. 114. Portfolio total Power generation incluye actividades fuera de Terra.
ING Groep N.V.,Energy: Oil & Gas (Upstream),Oil & Gas,Scope 1+2+3,Upstream - Oil & Gas extraction,,Global,Wholesale Banking,PCAF,"IEA NZE (WEO, 2023)",MtCO2 eq,,2019,2025,2030,99,,,"12,2",,50,"0,49","71,00",,71% de avance respecto al objetivo de 2040,SBTi validado,EUR,"1,9 €bn (2025)",,,"12,2 Mt CO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 115, 116, 126","Objetivo final es fase-out (0) en 2040. Emisiones absolutas incluyen Scope 1, 2 y 3. El portfolio amount se reporta como limites de crédito."
ING Groep N.V.,Energy: Oil & Gas (Mid- and Downstream),Oil & Gas,Scope 1+2,Midstream; Downstream - Processing; transport; storage; handling; liquefaction; refining,Amount drawn; Undrawn commitments,Global,Wholesale Banking,Convergence approach,"IEA NZE (Emissions from Oil and Gas Operations in Net Zero Transitions, 2023)",kg CO2e / boe,,2022,2025,2030,"19,2",,"19,1",19,,"14,5","0,24","-1,04%",,1% de avance,No validado,EUR,"5,6 €bn (2025)","19 (portfolio total: 14,7 €bn)",,"23,101 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 115, 116, 126","Emisiones absolutas calculadas sumando Scope 1, 2 y 3 de la tabla de Financed Emissions p. 126."
ING Groep N.V.,Cement,Cement,Scope 1+2,Downstream - Cement production,Amount drawn; Undrawn commitments,Global,Wholesale Banking,PACTA,"IEA NZE (WEO, 2023)",t CO2 / t cement,,2020,2025,2030,"0,734",,"0,688","0,695",,"0,52","0,29","-5,31%","-0,03","21,40%",SBTi validado,EUR,"0,6 €bn (2025)",100,,"1,542 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 118, 126","Intensidad aumentó en 2025 respecto a 2024. Emisiones absolutas sumando Scope 1, 2 y 3 p. 126."
ING Groep N.V.,Steel,Steel,Scope 1+2+3,Midstream - Steel production,Amount drawn; Undrawn commitments,Global,Wholesale Banking,Sustainable STEEL Principles,"IEA NZE (WEO, 2021) / MPP’s Technology Moratorium",SSP percentage deviation,,,2025,2030,,,"5,1","5,4",,0,,,,"Misaligned (+5,4%)",SBTi validado,EUR,"2,1 €bn (2025)",91,"1,90 tCO2/t steel","2,400 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 119, 126","Métrica es desviación porcentual vs el escenario. Intensidad reportada en 2025 es 1,90 tCO2/t steel."
ING Groep N.V.,Automotive,Automotive,Scope 3,Downstream - Passenger car manufacturing (Producers),Amount drawn; Undrawn commitments,Global,Wholesale Banking,PACTA,"IEA NZE (Net Zero by 2050, 2021)",gCO2e/vkm,,2020,2025,2030,"0,199",,"0,146","0,15",,"0,101","0,49","-24,62%",,24% de avance,SBTi validado,EUR,"4,0 €bn (2025)",100,,"5,435 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 120, 126",Scope 3 cubre Cat 11 (uso de productos vendidos). Emisiones absolutas sumando Scope 1+2 y Scope 3 p. 126.
ING Groep N.V.,Aviation,Aviation,Scope 1+3,Downstream - Airline services,Amount drawn; Undrawn commitments,Global,Wholesale Banking,Pegasus Guidelines,MPP PRU,g CO2e / RTK,,2023,2024,2030,844,844,861,,,681,"19,00","2,01%",,2% de retroceso (-2%),SBTi validado,EUR,"4,8 €bn (2024)",,,"3,985 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 121, 126",Dato reportado con un año de retraso (2024). Emisiones absolutas p. 126 corresponden a 2025.
ING Groep N.V.,Shipping,Shipping,Scope 1+3,Downstream - Ship operators/owners,Amount drawn; Undrawn commitments,Global,Wholesale Banking,Poseidon Principles,DNV 1.5°C Initiative,Alignment delta,,,2024,2030,,"-7,6","-4,6",,,0,,#DIV/0!,,"Aligned (-4,6%)",No validado,EUR,"8,6 €bn (2024)",,,"3,840 ktCO2e (2025)",,,,,,,Sí,46054,ING Group Annual Report 2025,"pp. 113, 122, 126",Dato reportado con un año de retraso (2024). Delta de alineamiento negativo indica cumplimiento.
